TagId,Name,NameEn,Column,Length,DataType,Remark
452,飞灰含灰量占入炉煤总灰量百分比,Coal Fly-Ash/Charging AC(Ash Content) Percentage,CoalFlyAshChargeAcPercent,2,HEX,缺省配置：Coal_AFH飞灰含灰量占入炉煤总灰量百分比
453,气体未完全燃烧热损失（燃煤）,Coal Q3(Heat Loss due to Unburned Gas),CoalQ3,2,HEX,缺省配置：Coal_Q3气体未完全燃烧热损失
454,燃料计算系数（燃煤）,Coal M(Calculation Coefficient),CoalM,2,HEX,缺省配置：Coal_M燃料计算系数
455,燃料计算系数（燃煤）,Coal N(Calculation Coefficient),CoalN,2,HEX,缺省配置：Coal_N燃料计算系数
456,炉渣温度,Coal Slag Temperature,CoalSlagTemperature,2,HEX,缺省配置：Coal_TLZ炉渣温度
457,炉渣焓,Coal Slag Enthalpy,CoalSlagEnthalpy,2,HEX,缺省配置：Coal_CT_LZ炉渣焓
458,锅炉额定负荷（燃气）,Gas Boiler Rated Load,GasBoilerRatedLoad,2,HEX,缺省配置：Gas_DED锅炉额定负荷
459,锅炉实测负荷（燃气）,Gas Boiler Measured Load,GasBoilerMeasuredLoad,2,HEX,缺省配置：Gas_DSC锅炉实测负荷
460,排烟处过量空气系数,Gas Excess-Air Coefficient of Exhaust,GasExcAirCoefficientExhaust,2,HEX,缺省配置：Gas_APY排烟处过量空气系数
461,气体未完全燃烧热损失（燃气）,Gas Q3(Heat Loss due to Unburned Gas),GasQ3,2,HEX,缺省配置：Gas_Q3气体未完全燃烧热损失
462,燃料计算系数（燃气）,Gas M(Calculation Coefficient),GasM,2,HEX,缺省配置：Gas_M燃料计算系数
463,燃料计算系数（燃气）,Gas N(Calculation Coefficient),GasN,2,HEX,缺省配置：Gas_N燃料计算系数
501,报警阀值1,Alarm Valve 1,AlarmValve1,2,HEX,
502,报警阀值2,Alarm Valve 2,AlarmValve2,2,HEX,
503,报警阀值3,Alarm Valve 3,AlarmValve3,2,HEX,
504,报警阀值4,Alarm Valve 4,AlarmValve4,2,HEX,
505,报警阀值5,Alarm Valve 5,AlarmValve5,2,HEX,
506,报警阀值6,Alarm Valve 6,AlarmValve6,2,HEX,
507,报警阀值7,Alarm Valve 7,AlarmValve7,2,HEX,
508,报警阀值8,Alarm Valve 8,AlarmValve8,2,HEX,
509,报警阀值9,Alarm Valve 9,AlarmValve9,2,HEX,
510,报警阀值10,Alarm Valve 10,AlarmValve10,2,HEX,
511,报警阀值11,Alarm Valve 11,AlarmValve11,2,HEX,
512,报警阀值12,Alarm Valve 12,AlarmValve12,2,HEX,
601,上报启闭,Upload On-Off,UploadOnOff,1,HEX,0x00：关闭主动上报，0x01：开启主动上报
602,上报周期,Upload Period,UploadPeriod,2,HEX,0x0000~0xFFFF，单位为s
603,配置参数预留1,Reserved Setting Parameter 1,ReservedSettingParameter 1,2,HEX,具体参数由通道配置文件确定
604,配置参数预留2,Reserved Setting Parameter 2,ReservedSettingParameter 2,2,HEX,具体参数由通道配置文件确定
605,配置参数预留3,Reserved Setting Parameter 3,ReservedSettingParameter 3,2,HEX,具体参数由通道配置文件确定
606,配置参数预留4,Reserved Setting Parameter 4,ReservedSettingParameter 4,2,HEX,具体参数由通道配置文件确定
607,配置参数预留5,Reserved Setting Parameter 5,ReservedSettingParameter 5,2,HEX,具体参数由通道配置文件确定
608,配置参数预留6,Reserved Setting Parameter 6,ReservedSettingParameter 6,2,HEX,具体参数由通道配置文件确定
609,配置参数预留7,Reserved Setting Parameter 7,ReservedSettingParameter 7,2,HEX,具体参数由通道配置文件确定
610,配置参数预留8,Reserved Setting Parameter 8,ReservedSettingParameter 8,2,HEX,具体参数由通道配置文件确定
611,配置参数预留9,Reserved Setting Parameter 9,ReservedSettingParameter 9,2,HEX,具体参数由通道配置文件确定
612,配置参数预留10,Reserved Setting Parameter 10,ReservedSettingParameter 10,2,HEX,具体参数由通道配置文件确定
700,终端故障,Terminal Error,TerminalError,1,HEX,0x00：无故障，0x01：故障A，0x02：故障B，0x03：故障
701,终端重启,Terminal Restart,TerminalRestart,1,HEX,0x00：不重启，0x01：重启
801,保留字1,Reserve 1,Reserve1,2,HEX,保留字段
802,保留字2,Reserve 2,Reserve2,2,HEX,保留字段
803,保留字3,Reserve 3,Reserve3,2,HEX,保留字段
804,保留字4,Reserve 4,Reserve4,2,HEX,保留字段
998,CRC校验,CRC,Crc,2,HEX,对有效数据的CRC校验
999,包尾,Tailer,Tailer,2,HEX,用2个字节来表示协议尾，0xAF 0xED是信息帧结束的关键字
